OUTPUT OF MATLAB Q4 SMALL STRAIN FEM IMPLEMENTATION 

          DISPLACEMENTS 
********************************* 
  Node      U1           U2 
********************************* 
    1   0.00000e+00   0.00000e+00 
    2   0.00000e+00   0.00000e+00 
    3   0.00000e+00   0.00000e+00 
    4   0.00000e+00   0.00000e+00 
    5   0.00000e+00   0.00000e+00 
    6   1.11767e-04   6.12820e-05 
    7  -2.50044e-07   6.32736e-06 
    8  -1.12278e-04   6.07927e-05 
    9   2.33875e-04   1.49468e-04 
   10   1.16363e-04   1.09961e-04 
   11  -5.65627e-07   1.03376e-04 
   12  -1.17629e-04   1.09076e-04 
   13  -2.35306e-04   1.47829e-04 
   14   3.54927e-04   3.00759e-04 
   15  -1.16185e-06   2.46616e-04 
   16  -3.57972e-04   2.97651e-04 
   17   4.75219e-04   5.08528e-04 
   18   2.35886e-04   4.69943e-04 
   19  -2.22766e-06   4.55324e-04 
   20  -2.40535e-04   4.67338e-04 
   21  -4.80668e-04   5.03412e-04 
   22   5.93430e-04   7.80365e-04 
   23  -3.83195e-06   7.24637e-04 
   24  -6.02358e-04   7.72714e-04 
   25   7.11030e-04   1.11167e-03 
   26   3.52586e-04   1.07015e-03 
   27  -6.16887e-06   1.05480e-03 
   28  -3.65315e-04   1.06469e-03 
   29  -7.24854e-04   1.10085e-03 
   30   8.27909e-04   1.50301e-03 
   31  -9.37865e-06   1.44441e-03 
   32  -8.48394e-04   1.48844e-03 
   33   9.43395e-04   1.95465e-03 
   34   4.64892e-04   1.91160e-03 
   35  -1.35928e-05   1.89402e-03 
   36  -4.92564e-04   1.90212e-03 
   37  -9.72553e-04   1.93578e-03 
   38   1.05725e-03   2.46648e-03 
   39  -1.89470e-05   2.40350e-03 
   40  -1.09735e-03   2.44276e-03 
   41   1.16950e-03   3.03814e-03 
   42   5.72081e-04   2.99265e-03 
   43  -2.55872e-05   2.97262e-03 
   44  -6.23872e-04   2.97804e-03 
   45  -1.22313e-03   3.00900e-03 
   46   1.28005e-03   3.66949e-03 
   47  -3.36516e-05   3.60114e-03 
   48  -1.35004e-03   3.63439e-03 
   49   1.38871e-03   4.36040e-03 
   50   6.72879e-04   4.31202e-03 
   51  -4.32755e-05   4.28893e-03 
   52  -7.60159e-04   4.29117e-03 
   53  -1.47818e-03   4.31879e-03 
   54   1.49533e-03   5.11069e-03 
   55  -5.45939e-05   5.03584e-03 
   56  -1.60766e-03   5.06204e-03 
   57   1.59978e-03   5.92020e-03 
   58   7.66243e-04   5.86837e-03 
   59  -6.77428e-05   5.84170e-03 
   60  -9.02574e-04   5.84021e-03 
   61  -1.73864e-03   5.86395e-03 
   62   1.70194e-03   6.78874e-03 
   63  -8.28549e-05   6.70633e-03 
   64  -1.87125e-03   6.72438e-03 
   65   1.80167e-03   7.71616e-03 
   66   8.51085e-04   7.66036e-03 
   67  -1.00063e-04   7.62956e-03 
   68  -1.05217e-03   7.62382e-03 
   69  -2.00563e-03   7.64316e-03 
   70   1.89884e-03   8.70228e-03 
   71  -1.19497e-04   8.61125e-03 
   72  -2.14189e-03   8.62011e-03 
   73   1.99332e-03   9.74693e-03 
   74   9.26352e-04   9.68663e-03 
   75  -1.41289e-04   9.65120e-03 
