Time,Position Axis 1,Load Axis 1,Command Axis 1,Aux 0,Aux 1,Aux 2,Cycles
-1.9000000000,61.0550460816,0.5212333202,61.0551338196,-0.0327691548,0.0025818935,0.0051671178,0.0000000000
-1.8500000000,61.0695724486,0.5904041522,61.0551338196,-0.0315769464,-0.0023862107,-0.0029332938,0.0000000000
-1.8000000000,61.0530319214,0.5170012713,61.0551338196,-0.0325851478,0.0028770429,0.0053741559,0.0000000000
-1.7500000000,61.0524978638,0.5567289591,61.0551338196,-0.0333872214,-0.0022075782,-0.0032646887,0.0000000000
-1.7000000000,61.0613517761,0.5183963180,61.0551338196,-0.0337255597,0.0023704793,0.0049518091,0.0000000000
-1.6500000000,61.0620155336,0.5313026308,61.0551338196,-0.0326247290,-0.0025330102,-0.0029314959,0.0000000000
-1.6000000000,61.0652008056,0.5281218886,61.0551338196,-0.0320072398,0.0030372061,0.0056841513,0.0000000000
-1.5500000000,61.0467224123,0.5548183324,61.0551338196,-0.0321716331,-0.0018759513,-0.0033074575,0.0000000000
-1.5000000000,61.0513229370,0.5563046335,61.0551338196,-0.0325134881,0.0026093314,0.0055434550,0.0000000000
-1.4500000000,61.0412635806,0.5361721515,61.0551338196,-0.0329258405,-0.0024429071,-0.0032042162,0.0000000000
-1.4000000000,61.0649528503,0.5290793180,61.0551338196,-0.0326731987,0.0028337485,0.0057398989,0.0000000000
-1.3500000000,61.0490837099,0.5172403456,61.0551338196,-0.0326903313,-0.0021142310,-0.0031896259,0.0000000000
-1.3000000000,61.0653572082,0.5143104195,61.0551338196,-0.0328124836,0.0027179394,0.0053530917,0.0000000000
-1.2500000000,61.0492324829,0.5194001793,61.0551338196,-0.0329632014,-0.0025455337,-0.0030011858,0.0000000000
-1.2000000000,61.0527572632,0.5255452395,61.0551338196,-0.0330010317,0.0024546769,0.0052739559,0.0000000000
-1.1500000000,61.0423927307,0.5371166466,61.0551338196,-0.0327825509,-0.0022691474,-0.0031255891,0.0000000000
-1.1000000000,61.0444412232,0.5283691883,61.0551338196,-0.0325118601,0.0024062188,0.0047908332,0.0000000000
-1.0500000000,61.0527801511,0.5743986364,61.0551338196,-0.0325706266,-0.0020448884,-0.0030197957,0.0000000000
-1.0000000000,61.0446128846,0.4987240732,61.0551338196,-0.0323704332,0.0026599518,0.0054249396,0.0000000000
-0.9500000000,61.0531005857,0.5450389385,61.0551338196,-0.0332493968,-0.0020233439,-0.0033397023,0.0000000000
-0.9000000000,61.0475845338,0.5293281078,61.0551338196,-0.0327885896,0.0024568313,0.0052716206,0.0000000000
